symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
GOOG,2021-06-28,124.1021,2683.8051,2021-06-29,123.3183,-2103.66,-0.63,1
AMAT,2021-06-28,141.2047,2358.7443,2021-07-07,135.0754,-14457.53,-4.34,6
CRWD,2021-06-30,237.5854,1390.7889,2021-07-13,246.8974,12951.13,3.92,8
NVDA,2021-06-28,19.5785,17011.7978,2021-07-27,18.8173,-12949.37,-3.89,20
GOOG,2021-07-08,126.4091,2516.4092,2021-08-03,133.3599,17491.1,5.5,18
GOOGL,2021-07-28,132.8694,2405.3896,2021-08-03,132.4165,-1089.57,-0.34,4
INTU,2021-07-14,494.6636,693.0595,2021-08-24,542.0791,32861.82,9.59,29
AMD,2021-08-04,121.2569,2692.842,2021-08-31,113.0384,-22131.27,-6.78,19
REGN,2021-08-25,672.7831,557.5206,2021-09-08,672.7932,5.62,0.0,9
ADBE,2021-09-01,657.0501,462.5307,2021-09-08,654.4155,-1218.58,-0.4,4
ISRG,2021-09-09,349.3529,968.499,2021-09-14,339.2315,-9802.52,-2.9,3
COST,2021-09-15,397.4335,825.3409,2021-09-21,389.9978,-6136.94,-1.87,4
NVDA,2021-08-04,19.8616,16440.0191,2021-10-05,20.0386,2908.77,0.89,43
INTU,2021-09-22,550.6699,583.5884,2021-10-12,516.347,-20030.42,-6.23,14
TSLA,2021-10-06,255.3985,1287.8142,2021-10-12,262.8933,9651.84,2.93,4
NFLX,2021-10-13,59.7987,5341.798,2021-10-19,60.6761,4686.79,1.47,4
PANW,2021-09-09,72.8083,4647.1061,2021-10-26,75.9376,14542.07,4.3,33
TSLA,2021-10-27,338.6368,1040.418,2021-11-16,344.1412,5726.87,1.63,14
DDOG,2021-11-17,172.2318,2075.5532,2021-11-23,162.4189,-20367.08,-5.7,4
TSLA,2021-11-24,364.1326,924.3013,2021-11-30,373.5165,8673.57,2.58,3
DDOG,2021-12-01,148.9399,2314.2754,2021-12-07,160.2373,26145.4,7.59,4
NVDA,2021-10-20,21.6573,14941.8277,2021-12-14,27.7689,91319.73,28.22,38
DDOG,2021-12-15,154.8149,2675.7984,2021-12-21,160.6718,15671.97,3.78,4
AVGO,2021-12-22,63.6777,6740.7587,2021-12-28,65.0189,9040.72,2.11,3
DDOG,2021-12-29,162.6815,2689.7601,2022-01-04,142.8113,-53445.87,-12.21,4
MRVL,2021-12-08,90.7308,4080.6236,2022-01-11,85.763,-20271.77,-5.48,23
AMD,2021-10-13,111.4457,2866.2602,2022-01-19,130.9559,55921.16,17.51,67
QCOM,2022-01-12,180.6722,1933.9178,2022-01-19,167.1523,-26146.3,-7.48,4
TSLA,2022-01-05,355.0358,1080.207,2022-01-25,299.6589,-59818.48,-15.6,13
MU,2022-01-20,85.552,4076.4198,2022-01-25,81.1774,-17832.77,-5.11,3
KLAC,2022-01-20,38.4468,9070.8661,2022-01-25,37.1257,-11983.36,-3.44,3
TSLA,2022-04-06,341.2144,966.9171,2022-04-12,322.0257,-18553.92,-5.62,4
PANW,2022-04-06,94.7054,3483.7085,2022-04-12,95.4998,2767.51,0.84,4
NVDA,2022-04-06,23.9218,13791.8582,2022-04-12,21.0765,-39241.77,-11.89,4
COST,2022-08-10,543.2806,572.6013,2022-08-16,550.8138,4313.52,1.39,4
CDNS,2022-08-10,188.8299,1647.4255,2022-08-23,183.4747,-8822.29,-2.84,9
ADP,2022-08-10,254.0711,1224.3942,2022-08-23,255.7896,2104.12,0.68,9
CRWD,2022-08-17,196.1133,1605.6559,2022-08-23,191.1678,-7940.77,-2.52,4
ASML,2023-02-08,669.9935,458.1722,2023-02-14,660.7075,-4254.59,-1.39,4
BKNG,2023-02-08,98.3323,3121.7862,2023-02-22,96.6556,-5234.3,-1.71,9
GILD,2023-02-15,84.8925,3560.1716,2023-02-22,84.4731,-1493.14,-0.49,4
FTNT,2023-02-23,60.3893,4980.2669,2023-02-28,59.4207,-4823.89,-1.6,3
ABNB,2023-02-23,128.0277,2349.1387,2023-03-07,125.5514,-5817.17,-1.93,8
FTNT,2023-03-08,60.569,4861.6311,2023-03-14,59.8701,-3397.79,-1.15,4
BKNG,2023-03-01,100.8809,2928.7589,2023-03-21,100.4491,-1264.64,-0.43,14
CDNS,2023-03-15,201.697,1440.7701,2023-03-21,207.5482,8430.23,2.9,4
AMAT,2023-03-22,120.0996,2465.737,2023-03-28,118.5719,-3766.91,-1.27,4
BKNG,2023-03-29,102.804,2839.3614,2023-04-11,103.0835,793.6,0.27,8
AMD,2023-03-22,95.6263,3096.7843,2023-04-18,91.5924,-12492.12,-4.22,18
FTNT,2023-04-12,67.3488,4338.9248,2023-04-25,65.0123,-10137.9,-3.47,9
BKNG,2023-04-19,107.159,2642.6753,2023-05-02,107.2429,221.72,0.08,9
