symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
APP,2023-05-24,24.43,30.7,2023-06-01,24.83,12.28,1.64,5
PLTR,2023-05-24,12.23,4.6405,2023-06-01,14.54,10.72,18.89,5
PLTR,2023-05-24,12.23,0.3675,2023-07-03,15.52,1.21,26.9,26
META,2023-05-24,249.21,3.0233,2023-07-03,286.02,111.29,14.77,26
NVDA,2023-06-01,39.77,0.1162,2023-07-03,42.413,0.31,6.65,21
PLTR,2023-05-24,12.23,4.8078,2023-08-01,19.99,37.31,63.45,46
MSTR,2023-07-03,37.784,23.1324,2023-08-01,43.498,132.18,15.12,20
APP,2023-08-01,31.43,7.5305,2023-09-01,43.19,88.56,37.42,23
PLTR,2023-05-24,12.23,51.5088,2023-09-01,15.18,151.95,24.12,69
APP,2023-08-01,31.43,0.3864,2023-10-02,40.82,3.63,29.88,43
NVDA,2023-06-01,39.77,22.4635,2023-10-02,44.782,112.59,12.6,84
ADBE,2023-09-01,563.21,1.9348,2023-10-02,521.13,-81.42,-7.47,20
INSM,2023-10-02,25.37,39.9731,2023-11-01,24.99,-15.19,-1.5,22
PLTR,2023-10-02,15.88,63.8612,2023-11-01,14.92,-61.31,-6.05,22
APP,2023-08-01,31.43,25.9787,2023-12-01,38.25,177.17,21.7,86
MSTR,2023-11-01,42.667,1.026,2023-12-01,52.768,10.36,23.67,21
ZS,2023-11-01,156.65,6.0863,2023-12-01,198.03,251.85,26.42,21
MSTR,2023-11-01,42.667,2.994,2024-01-02,68.515,77.39,60.58,41
PDD,2023-12-01,145.27,8.6211,2024-02-01,126.59,-161.04,-12.86,41
CRWD,2023-12-01,235.03,1.1482,2024-02-01,299.37,73.88,27.38,41
MSTR,2023-11-01,42.667,18.3255,2024-02-01,50.348,140.76,18.0,62
AMD,2024-02-01,170.48,0.0468,2024-03-01,202.64,1.51,18.86,20
CRWD,2023-12-01,235.03,3.9373,2024-03-01,314.6,313.29,33.86,61
NVDA,2024-02-01,63.027,1.7888,2024-03-01,82.279,34.44,30.55,20
AMD,2024-02-01,170.48,6.8672,2024-04-01,183.34,88.31,7.54,40
MSTR,2024-03-01,107.939,2.9228,2024-04-01,163.674,162.9,51.64,20
NVDA,2024-02-01,63.027,3.0166,2024-05-01,83.041,60.37,31.75,62
ARM,2024-04-01,126.91,12.8575,2024-05-01,95.29,-406.55,-24.92,22
APP,2024-05-01,69.74,17.9097,2024-06-03,82.7,232.11,18.58,22
NVDA,2024-02-01,63.027,0.0112,2024-06-03,115.0,0.58,82.46,84
MSTR,2024-03-01,107.939,1.5261,2024-06-03,162.741,83.63,50.77,64
INSM,2024-06-03,55.94,3.9359,2024-07-01,66.34,40.93,18.59,19
NVDA,2024-02-01,63.027,0.64,2024-07-01,124.3,39.21,97.22,103
MSTR,2024-03-01,107.939,10.6207,2024-07-01,136.597,304.37,26.55,83
INSM,2024-06-03,55.94,4.9783,2024-08-01,75.33,96.53,34.66,41
NVDA,2024-02-01,63.027,14.3898,2024-08-01,109.21,664.56,73.27,125
ARM,2024-07-01,158.83,11.2614,2024-08-01,121.51,-420.28,-23.5,22
INSM,2024-06-03,55.94,1.4735,2024-09-03,73.31,25.59,31.05,63
MSTR,2024-08-01,151.181,10.9539,2024-09-03,122.32,-316.14,-19.09,22
ALNY,2024-08-01,268.61,0.2404,2024-09-03,253.78,-3.56,-5.52,22
PLTR,2024-09-03,30.51,4.2575,2024-10-01,36.46,25.33,19.5,20
ALNY,2024-08-01,268.61,5.9248,2024-10-01,276.06,44.14,2.77,42
INSM,2024-06-03,55.94,22.5246,2024-11-01,68.32,278.85,22.13,106
APP,2024-10-01,130.65,1.3983,2024-11-01,163.53,45.98,25.17,23
PLTR,2024-09-03,30.51,1.464,2024-11-01,41.92,16.7,37.4,43
APP,2024-10-01,130.65,1.6581,2024-12-02,340.59,348.1,160.69,43
APP,2024-10-01,130.65,0.2711,2025-01-02,341.78,57.24,161.6,64
PLTR,2024-09-03,30.51,6.7909,2025-01-02,75.19,303.42,146.44,84
PLTR,2024-09-03,30.51,0.0198,2025-02-03,83.74,1.05,174.47,104
MSTR,2024-11-01,229.71,0.3979,2025-02-03,347.09,46.7,51.1,61
APP,2024-10-01,130.65,0.4416,2025-03-03,337.34,91.28,158.2,103
PLTR,2024-09-03,30.51,4.8644,2025-03-03,83.42,257.38,173.42,123
MSTR,2024-11-01,229.71,10.1255,2025-03-03,250.92,214.76,9.23,80
GILD,2025-03-03,115.99,26.6855,2025-04-01,111.28,-125.69,-4.06,21
APP,2024-10-01,130.65,9.1755,2025-04-01,282.7,1395.13,116.38,124
PLTR,2024-09-03,30.51,37.1044,2025-04-01,84.68,2009.94,177.55,144
PLTR,2025-06-02,132.04,21.9467,2025-07-01,130.68,-29.85,-1.03,20
ZS,2025-06-02,293.18,0.1405,2025-07-01,307.32,1.99,4.82,20
AVGO,2025-06-02,248.71,11.6515,2025-07-01,264.74,186.77,6.45,20
STX,2025-07-01,145.04,20.6455,2025-08-01,154.81,201.71,6.74,22
ZS,2025-06-02,293.18,9.7437,2025-08-01,280.27,-125.79,-4.4,42
WDC,2025-07-01,63.84,5.5031,2025-08-01,76.55,69.94,19.91,22
AMD,2025-08-01,171.7,18.4585,2025-09-02,162.32,-173.14,-5.46,21
PLTR,2025-08-01,154.27,20.544,2025-09-02,157.09,57.93,1.83,21
WDC,2025-07-01,63.84,41.4021,2025-09-02,81.91,748.14,28.31,43
INSM,2025-09-02,145.3,22.0338,2025-10-01,147.28,43.63,1.36,21
LITE,2025-09-02,132.555,24.1524,2025-10-01,171.4,938.2,29.3,21
ALNY,2025-09-02,447.0,7.1622,2025-10-01,460.65,97.76,3.05,21
SNDK,2025-10-01,121.12,6.752,2025-11-03,207.01,579.93,70.91,23
STX,2025-10-01,256.84,13.8462,2025-11-03,265.55,120.6,3.39,23
MU,2025-11-03,234.7,19.9419,2025-12-01,240.46,114.87,2.45,19
WDC,2025-10-01,130.59,0.3033,2025-12-01,163.54,9.99,25.23,42
SNDK,2025-10-01,121.12,1.5018,2026-01-02,275.24,231.45,127.25,64
WDC,2025-10-01,130.59,29.3156,2026-01-02,187.7,1674.21,43.73,64
SNDK,2025-10-01,121.12,6.9091,2026-02-02,665.24,3759.36,449.24,84
LITE,2025-12-01,317.93,7.4494,2026-03-02,783.25,3466.35,146.36,61
MU,2026-01-02,315.42,28.8032,2026-04-01,367.85,1510.15,16.62,61
SNDK,2025-10-01,121.12,19.1998,2026-04-01,692.73,10974.81,471.94,125
LITE,2025-12-01,317.93,15.1755,2026-04-01,764.65,6779.21,140.51,83
